row,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,kmeans_cluster,dbscan_cluster
38470,85.0,325000,375000.0,78.353,50%-60%,Joint,CashOut_Refinance,Principal_Residence,Denied,31.14,4,0
28541,256.0,285000,365000.0,80.0,30%-<36%,White,Home_Purchase,Second_Residence,Originated,43.85,2,1
29872,97.0,195000,245000.0,78.947,20%-<30%,Joint,Home_Purchase,Principal_Residence,Originated,35.97,2,1
13038,95.0,245000,565000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,92.6,0,2
81555,74.0,185000,265000.0,70.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,12.31,2,1
58354,98.0,105000,385000.0,79.35,20%-<30%,White,Home_Improvement,Principal_Residence,Originated,27.65,6,3
24748,84.0,135000,405000.0,34.25,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,12.21,2,1
1722,18.0,195000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,86.91,0,2
35741,95.0,305000,305000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,44.24,2,1
81784,115.0,275000,325000.0,84.66,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,22.27,0,2
89064,55.0,215000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,14.77,2,1
94496,92.0,525000,535000.0,96.5,>60%,Native Hawaiian or Other Pacific Islander,Home_Purchase,Principal_Residence,Denied,96.85,4,4
11201,143.0,585000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,58.83,2,1
39284,61.0,55000,115000.0,67.569,20%-<30%,White,Home_Improvement,Principal_Residence,Originated,19.36,6,3
29564,43.0,105000,155000.0,70.667,30%-<36%,Race Not Available,Refinance,Principal_Residence,Approved_NotAccepted,71.33,0,2
50089,49.0,255000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,29.54,0,2
27739,95.0,135000,165000.0,80.0,Unknown,Race Not Available,Home_Purchase,Investment,Originated,31.64,1,5
39294,116.0,235000,975000.0,24.0,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,16.26,0,2
23343,32.0,145000,375000.0,78.353,Unknown,Black or African American,Refinance,Principal_Residence,Withdrawn,15.94,0,2
31772,95.0,735000,875000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,56.09,2,1
26794,52.0,205000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Incomplete,91.69,0,2
44668,92.0,385000,515000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,51.28,0,2
92885,119.0,305000,315000.0,96.5,50%-60%,White,Home_Purchase,Principal_Residence,Originated,47.55,4,4
86107,95.0,385000,435000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,14.63,2,1
65155,165.0,215000,375000.0,78.353,Unknown,White,CashOut_Refinance,Investment,Withdrawn,47.64,1,6
40670,206.0,755000,795000.0,95.0,36%-<43%,Joint,Home_Purchase,Principal_Residence,Originated,58.56,2,1
