row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
81485,0,95.0,25000,165000.0,49.952,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,9.63,1
65936,0,38.0,145000,155000.0,97.0,43%-<50%,White,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,1
94859,0,35.0,55000,375000.0,78.353,Exempt,White,Home_Purchase,Principal_Residence,Originated,5.89,1
12254,6,55.0,245000,655000.0,48.193,50%-60%,White,Refinance,Principal_Residence,Denied,20.35,0
83717,3,63.0,205000,345000.0,57.988,36%-<43%,White,Refinance,Principal_Residence,Originated,14.85,6
80145,4,160.0,65000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,13.1,2
6956,1,900.0,1505000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,6.42,6
87263,0,185.0,325000,405000.0,80.0,<20%,White,Home_Purchase,Principal_Residence,Originated,46.01,5
61213,6,55.0,105000,595000.0,16.77,>60%,White,Refinance,Principal_Residence,Denied,59.19,0
15643,3,123.0,185000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Incomplete,12.85,6
49126,6,90.0,355000,355000.0,100.0,50%-60%,White,Home_Purchase,Principal_Residence,Originated,26.27,0
78455,6,99.0,495000,505000.0,96.5,50%-60%,Black or African American,Home_Purchase,Principal_Residence,Preapproval_Denied,0.0,0
85632,0,122.0,405000,395000.0,100.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,30.37,1
49922,5,84.0,85000,315000.0,74.89,36%-<43%,White,Other,Principal_Residence,Originated,16.31,4
52724,0,81.0,335000,375000.0,90.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,38.7,5
83927,0,95.0,1195000,1545000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,9.41,1
16353,2,172.0,315000,415000.0,75.0,36%-<43%,White,Home_Purchase,Investment,Originated,62.37,3
33284,0,110.0,395000,405000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,49.34,5
72345,2,95.0,355000,1005000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Purchased,36.27,3
2424,0,38.0,155000,245000.0,60.24,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,27.83,1
52076,3,95.0,315000,395000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,22.42,6
5727,4,85.0,25000,155000.0,52.881,36%-<43%,White,Other,Principal_Residence,Denied,31.18,2
77515,3,183.0,285000,725000.0,39.449,20%-<30%,White,CashOut_Refinance,Principal_Residence,Denied,35.88,6
59219,0,81.0,245000,305000.0,80.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,5.47,1
24398,0,189.0,245000,275000.0,90.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,31.98,1
25227,4,89.0,85000,135000.0,65.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,74.27,2
2396,3,48.0,105000,325000.0,33.34,30%-<36%,White,Refinance,Principal_Residence,Originated,47.04,6
76529,0,95.0,45000,65000.0,78.353,Unknown,Race Not Available,NotApplicable,Principal_Residence,Purchased,31.29,1
43981,5,61.0,25000,555000.0,39.647,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,26.44,4
23028,0,69.0,355000,375000.0,94.932,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,50.81,5
76001,3,47.0,235000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,97.1,6
95266,0,37.0,305000,555000.0,55.018,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,22.62,1
80152,0,147.0,235000,275000.0,85.0,20%-<30%,Race Not Available,Home_Purchase,Principal_Residence,Originated,18.64,1
29138,2,94.0,135000,165000.0,80.0,43%-<50%,White,Home_Purchase,Investment,Originated,43.69,3
4896,3,64.0,75000,85000.0,93.529,<20%,White,Refinance,Principal_Residence,Originated,13.9,6
91279,2,248.0,205000,335000.0,79.074,30%-<36%,White,Home_Purchase,Investment,Originated,34.61,3
50978,1,825.0,335000,375000.0,78.353,Exempt,White,Home_Purchase,Principal_Residence,Withdrawn,17.58,4
26359,2,266.0,65000,95000.0,75.0,20%-<30%,White,Home_Purchase,Investment,Originated,39.18,3
2092,3,41.0,15000,155000.0,10.0,<20%,White,Home_Improvement,Principal_Residence,Denied,5.02,1
49856,0,117.0,455000,375000.0,78.353,Exempt,White,Home_Purchase,Principal_Residence,Originated,23.43,1
60807,0,95.0,125000,175000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,10.6,1
49808,5,50.0,65000,275000.0,83.784,36%-<43%,White,Other,Principal_Residence,Originated,51.84,4
7891,6,76.0,175000,175000.0,103.964,50%-60%,Race Not Available,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,0
19483,3,71.0,325000,475000.0,69.149,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,33.75,6
89393,1,201.0,305000,455000.0,66.37,36%-<43%,White,Other,Second_Residence,Originated,6.86,1
57851,0,148.0,405000,425000.0,95.0,36%-<43%,Race Not Available,Home_Purchase,Principal_Residence,Originated,32.27,1
92057,0,95.0,285000,365000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,19.85,1
25252,5,120.0,35000,755000.0,80.496,43%-<50%,White,Other,Principal_Residence,Originated,45.17,4
89104,0,155.0,405000,505000.0,80.0,<20%,Race Not Available,Home_Purchase,Principal_Residence,Originated,14.86,1
35583,6,120.0,755000,755000.0,100.0,50%-60%,Race Not Available,Home_Purchase,Principal_Residence,Originated,31.55,0
99328,5,0.0,115000,1625000.0,40.91,<20%,White,Home_Improvement,Principal_Residence,Denied,54.84,4
23182,3,52.0,35000,155000.0,19.48,20%-<30%,White,Other,Principal_Residence,Originated,20.93,1
8994,0,221.0,135000,165000.0,80.0,30%-<36%,Race Not Available,Home_Purchase,Second_Residence,Originated,13.4,1
83554,0,308.0,715000,835000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,48.05,1
45843,6,67.0,35000,235000.0,90.0,50%-60%,White,Home_Improvement,Principal_Residence,Denied,4.61,0
96505,0,51.0,165000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,42.88,5
63169,0,50.0,85000,175000.0,50.588,20%-<30%,Asian,Home_Purchase,Principal_Residence,Originated,44.26,5
30950,0,40.0,195000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,76.14,5
88907,0,49.0,195000,335000.0,60.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,26.41,1
84083,0,162.0,305000,375000.0,78.353,Unknown,White,Other,Principal_Residence,Withdrawn,25.61,1
95763,0,148.0,245000,315000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,30.32,1
73209,6,122.0,395000,395000.0,96.484,50%-60%,White,Home_Purchase,Principal_Residence,Originated,28.59,0
78311,3,17.0,115000,245000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Originated,16.94,6
15074,1,352.0,1505000,3055000.0,49.47,36%-<43%,White,CashOut_Refinance,Principal_Residence,Originated,21.52,6
77427,2,130.0,225000,415000.0,53.735,43%-<50%,Asian,CashOut_Refinance,Investment,Originated,44.14,3
86830,1,492.0,125000,1305000.0,89.9,<20%,White,Other,Principal_Residence,Originated,83.93,4
21859,0,254.0,235000,335000.0,70.0,30%-<36%,Joint,Home_Purchase,Principal_Residence,Denied,30.46,1
18039,0,196.0,345000,425000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,1
64405,0,21.0,65000,65000.0,97.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,74.91,5
86843,1,385.0,2005000,2815000.0,71.17,43%-<50%,Asian,Home_Purchase,Principal_Residence,Originated,82.06,5
12011,5,100.0,145000,235000.0,61.01,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,12.77,4
10942,5,48.0,65000,325000.0,80.0,30%-<36%,White,Home_Improvement,Principal_Residence,Originated,49.73,4
68733,0,66.0,235000,235000.0,78.353,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,66.0,5
58832,3,44.0,225000,345000.0,64.71,36%-<43%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,62.35,6
85418,0,38.0,175000,175000.0,96.5,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,97.18,5
91609,5,69.0,45000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,12.98,4
16315,6,130.0,535000,535000.0,102.3,50%-60%,White,Home_Purchase,Principal_Residence,Originated,36.64,0
17143,0,51.0,205000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,0.0,1
95671,2,81.0,235000,335000.0,70.0,36%-<43%,Asian,CashOut_Refinance,Investment,Originated,86.11,3
63914,6,65.0,85000,395000.0,39.74,50%-60%,White,Other,Principal_Residence,Denied,21.95,0
39638,0,45.0,185000,255000.0,75.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,11.52,1
86899,0,93.0,425000,525000.0,80.0,36%-<43%,Race Not Available,Home_Purchase,Principal_Residence,Originated,80.64,5
4048,0,102.0,145000,155000.0,96.5,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,37.48,1
43748,6,70.0,555000,795000.0,69.118,>60%,White,Home_Purchase,Principal_Residence,Denied,46.68,0
63097,5,137.0,55000,565000.0,67.92,36%-<43%,White,Other,Principal_Residence,Originated,14.08,4
20727,5,250.0,305000,375000.0,78.353,Unknown,White,Other,Principal_Residence,Incomplete,13.86,4
49810,3,49.0,125000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,66.33,6
66595,0,207.0,615000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,8.76,1
94698,0,77.0,145000,275000.0,52.536,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,4.31,1
79766,0,25.0,155000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Withdrawn,15.57,1
78994,0,95.0,1015000,1455000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,43.88,1
31891,6,62.0,15000,175000.0,97.955,50%-60%,White,Other,Principal_Residence,Denied,8.03,0
25800,3,152.0,415000,885000.0,47.0,30%-<36%,Joint,Refinance,Second_Residence,Originated,51.45,6
