field,value,n,approval_rate
applicant_age,<25,2048,78.7
applicant_age,25-34,13031,80.7
applicant_age,35-44,16664,77.7
applicant_age,45-54,14495,75.5
applicant_age,55-64,11186,73.9
applicant_age,65-74,6374,74.5
applicant_age,>74,2446,69.5
applicant_age,Age_NA,1583,88.4
occupancy_type,Investment,5239,83.0
occupancy_type,Principal_Residence,60809,76.3
occupancy_type,Second_Residence,1779,80.0
total_units,1,65635,76.9
total_units,2,1317,73.6
total_units,3,303,70.3
total_units,4,211,77.7
total_units,5-24,223,91.5
total_units,25-49,30,96.7
total_units,50-99,48,93.8
total_units,>149,44,90.9
conforming_loan_limit,C,64380,76.5
conforming_loan_limit,NC,3080,82.9
conforming_loan_limit,Unknown,361,92.2
property_value_band,<100k,2126,51.1
property_value_band,100-200k,8933,71.8
property_value_band,200-350k,18238,79.3
property_value_band,350-500k,17409,75.5
property_value_band,500-750k,11297,80.7
property_value_band,>750k,9824,80.7
cltv_band,<60%,15439,76.1
cltv_band,60-80%,30598,76.2
cltv_band,80-90%,7986,75.9
cltv_band,90-95%,4934,83.4
cltv_band,95-100%,7111,83.3
cltv_band,>100%,1759,55.8
tract_income_cat,Low_Income,2908,60.2
tract_income_cat,Moderate_Income,11786,72.8
tract_income_cat,Middle_Income,29908,77.3
tract_income_cat,Upper_Income,23225,80.5
