,income,loan_amount,property_value,combined_loan_to_value_ratio,tract_minority_population_percent,occupancy_type,loan_purpose,loan_type,iso_score,anomaly_votes,category,global_outlier,contextual_outlier
16,95.0,255000,375000.0,78.353,63.44,Investment,Home_Purchase,Conventional,0.4680648942646211,1,Global outlier,True,False
66,264.0,395000,375000.0,78.353,0.0,Principal_Residence,Home_Purchase,Conventional,0.5338993173706079,2,Global outlier,True,False
124,2137.0,3005000,5485000.0,54.67,45.39,Second_Residence,Home_Purchase,Conventional,0.7047659955191907,2,Global outlier,True,False
125,277.0,165000,605000.0,27.167,48.65,Investment,Refinance,Conventional,0.5095176629461337,2,Both (global + contextual),True,True
135,142.0,425000,475000.0,89.999,43.4,Principal_Residence,Home_Purchase,Conventional,0.36632844417699006,0,Normal,False,False
136,173.0,35000,365000.0,57.6,19.39,Principal_Residence,Other,Conventional,0.4697078202108039,1,Global outlier,True,False
138,362.0,2005000,375000.0,78.353,16.64,Principal_Residence,Home_Purchase,Conventional,0.5044878869312902,1,Global outlier,True,False
165,50.0,315000,385000.0,81.188,0.0,Principal_Residence,Home_Purchase,Conventional,0.5196481773615869,1,Global outlier,True,False
167,210.0,715000,375000.0,78.353,8.23,Principal_Residence,Home_Purchase,Conventional,0.40393508558234376,0,Normal,False,False
168,565.0,1255000,2425000.0,52.0,27.61,Investment,Home_Purchase,Conventional,0.6350071087889155,4,Both (global + contextual),True,True
179,78.0,195000,375000.0,78.353,0.0,Principal_Residence,Home_Purchase,Conventional,0.5118337492551017,1,Global outlier,True,False
181,84.0,395000,375000.0,78.353,48.26,Principal_Residence,Home_Purchase,VA,0.4523510027016836,1,Global outlier,True,False
190,226.0,1095000,1375000.0,80.0,81.6,Principal_Residence,Home_Purchase,Conventional,0.5606094215884191,2,Global outlier,True,False
202,95.0,2385000,3975000.0,60.0,21.23,Investment,CashOut_Refinance,Conventional,0.6369979353867034,3,Global outlier,True,False
254,42.0,155000,375000.0,78.353,59.42,Principal_Residence,Home_Purchase,Conventional,0.3775478140799654,0,Normal,False,False
259,258.0,195000,365000.0,53.425,49.67,Investment,CashOut_Refinance,Conventional,0.44063516860685853,1,Global outlier,True,False
261,496.0,225000,1255000.0,102.93,71.68,Principal_Residence,Home_Improvement,Conventional,0.5617264535262725,2,Global outlier,True,False
271,95.0,755000,845000.0,78.353,42.44,Principal_Residence,Home_Purchase,Conventional,0.44424458665956207,1,Global outlier,True,False
277,228.0,1305000,2805000.0,46.43,11.38,Principal_Residence,Home_Purchase,Conventional,0.5814638388036858,1,Global outlier,True,False
289,127.0,415000,665000.0,61.0,57.1,Principal_Residence,CashOut_Refinance,FHA,0.502188106081231,1,Global outlier,True,False
299,51.0,75000,165000.0,78.353,15.51,Principal_Residence,Other,Conventional,0.4487447631218382,0,Normal,False,False
301,74.0,355000,375000.0,78.353,94.52,Principal_Residence,Home_Purchase,VA,0.4074284553130706,0,Normal,False,False
312,88.0,105000,375000.0,78.353,0.0,Principal_Residence,Home_Purchase,Conventional,0.4501634632112143,0,Normal,False,False
330,77.0,425000,455000.0,95.0,14.92,Principal_Residence,Home_Purchase,Conventional,0.36819422519964884,0,Normal,False,False
341,164.0,655000,815000.0,80.0,89.08,Principal_Residence,Home_Purchase,Conventional,0.5177000007848186,1,Global outlier,True,False
349,95.0,235000,245000.0,78.353,44.53,Principal_Residence,Home_Purchase,Conventional,0.4312595052156918,1,Global outlier,True,False
352,49.0,195000,375000.0,78.353,0.0,Principal_Residence,Home_Purchase,Conventional,0.5154267237414825,1,Global outlier,True,False
362,80.0,445000,555000.0,80.0,35.01,Principal_Residence,Home_Purchase,Conventional,0.36696135312873635,0,Normal,False,False
369,60.0,105000,805000.0,29.95,81.71,Principal_Residence,Refinance,Conventional,0.46643953601772786,1,Contextual/local outlier,False,True
382,58.0,295000,455000.0,64.724,25.18,Principal_Residence,CashOut_Refinance,Conventional,0.36028404962251026,0,Normal,False,False
386,144.0,655000,1055000.0,61.611,20.51,Principal_Residence,CashOut_Refinance,Conventional,0.502740457769685,1,Global outlier,True,False
388,95.0,355000,705000.0,50.0,85.41,Investment,Home_Improvement,Conventional,0.4230670831791766,0,Normal,False,False
389,300.0,1025000,1025000.0,100.0,18.33,Principal_Residence,Home_Purchase,Conventional,0.4903032239531718,2,Both (global + contextual),True,True
412,95.0,1475000,2255000.0,79.98,47.7,Principal_Residence,CashOut_Refinance,Conventional,0.5785114530892587,2,Global outlier,True,False
417,64.0,255000,375000.0,78.353,25.45,Principal_Residence,CashOut_Refinance,Conventional,0.3791475926170612,0,Normal,False,False
422,95.0,205000,405000.0,78.353,30.94,Principal_Residence,CashOut_Refinance,Conventional,0.394509833828383,0,Normal,False,False
423,50.0,255000,485000.0,51.23,19.76,Principal_Residence,Refinance,FHA,0.377820681429217,0,Normal,False,False
433,140.0,75000,375000.0,78.353,23.87,Principal_Residence,CashOut_Refinance,Conventional,0.46438645329808037,1,Global outlier,True,False
465,41.0,55000,75000.0,71.429,33.2,Principal_Residence,Home_Improvement,Conventional,0.3802596958402803,0,Normal,False,False
482,104.0,205000,355000.0,71.0,55.57,Principal_Residence,Other,Conventional,0.3943609665542865,0,Normal,False,False
491,69.0,15000,155000.0,64.96,7.66,Principal_Residence,Home_Improvement,Conventional,0.42399967968506314,0,Normal,False,False
515,325.0,235000,315000.0,75.0,21.0,Second_Residence,Home_Purchase,Conventional,0.38714132861896083,0,Normal,False,False
516,483.0,1135000,1415000.0,80.0,88.91,Principal_Residence,Home_Purchase,Conventional,0.5717059749465516,1,Global outlier,True,False
524,118.0,315000,325000.0,99.833,29.77,Principal_Residence,Home_Purchase,FHA,0.3683778309287169,0,Normal,False,False
539,164.0,285000,355000.0,80.0,21.64,Principal_Residence,Home_Purchase,Conventional,0.43367927175676924,1,Global outlier,True,False
542,6.0,135000,145000.0,95.0,22.65,Principal_Residence,Home_Purchase,Conventional,0.3934441705434527,0,Normal,False,False
544,341.0,965000,1205000.0,90.0,30.5,Principal_Residence,Home_Purchase,Conventional,0.4906822387342481,1,Global outlier,True,False
545,102.0,255000,315000.0,79.94,23.14,Principal_Residence,CashOut_Refinance,Conventional,0.4497171769497781,1,Global outlier,True,False
557,92.0,345000,505000.0,69.94,26.29,Principal_Residence,CashOut_Refinance,Conventional,0.3678719927547315,0,Normal,False,False
558,58.0,175000,175000.0,96.5,11.34,Principal_Residence,Home_Purchase,FHA,0.3706416607956299,0,Normal,False,False
564,57.0,15000,215000.0,42.543,7.7,Principal_Residence,Home_Improvement,Conventional,0.5057412769061055,1,Global outlier,True,False
571,498.0,1075000,1355000.0,78.353,9.33,Principal_Residence,Home_Purchase,Conventional,0.543863839677255,1,Global outlier,True,False
576,33.0,75000,95000.0,77.78,24.72,Principal_Residence,Home_Purchase,Conventional,0.3734480297806323,0,Normal,False,False
581,125.0,55000,775000.0,49.947,10.0,Principal_Residence,CashOut_Refinance,Conventional,0.4475370503039737,0,Normal,False,False
607,142.0,35000,265000.0,89.99,9.95,Principal_Residence,Home_Improvement,Conventional,0.3830232558776487,0,Normal,False,False
621,178.0,125000,435000.0,28.93,10.92,Principal_Residence,Refinance,Conventional,0.4905889747259511,0,Normal,False,False
632,32.0,105000,195000.0,51.375,78.16,Principal_Residence,Home_Improvement,Conventional,0.4160943041850406,0,Normal,False,False
640,179.0,195000,375000.0,78.353,15.37,Principal_Residence,CashOut_Refinance,Conventional,0.42103407862293196,0,Normal,False,False
659,138.0,75000,315000.0,90.01,13.99,Principal_Residence,Other,Conventional,0.46886845400253824,1,Global outlier,True,False
668,313.0,755000,1195000.0,63.025,16.14,Principal_Residence,CashOut_Refinance,Conventional,0.49601753570786644,1,Global outlier,True,False
669,211.0,135000,515000.0,83.238,75.1,Investment,Home_Improvement,Conventional,0.5153430625342769,1,Global outlier,True,False
676,327.0,1275000,375000.0,78.353,18.57,Principal_Residence,Home_Purchase,Conventional,0.49146877980825765,1,Global outlier,True,False
683,180.0,325000,375000.0,78.353,6.43,Investment,Home_Purchase,Conventional,0.3675880845666357,0,Normal,False,False
689,72.0,5000,215000.0,97.0,91.91,Principal_Residence,Home_Purchase,Conventional,0.5336092776715242,1,Global outlier,True,False
695,48.0,35000,185000.0,77.26,15.4,Principal_Residence,Other,Conventional,0.4509010799078647,0,Normal,False,False
697,155.0,295000,365000.0,80.0,61.01,Principal_Residence,Home_Purchase,Conventional,0.37358729670509633,0,Normal,False,False
699,95.0,135000,325000.0,78.353,29.48,Principal_Residence,Refinance,Conventional,0.4371739146358399,0,Normal,False,False
701,180.0,185000,255000.0,75.0,66.67,Investment,CashOut_Refinance,Conventional,0.3906583646575825,1,Contextual/local outlier,False,True
709,307.0,765000,955000.0,79.58,44.63,Principal_Residence,Home_Purchase,Conventional,0.43668696573167265,1,Global outlier,True,False
718,0.0,25000,375000.0,78.353,0.0,Principal_Residence,Other,Conventional,0.565733058580937,2,Global outlier,True,False
727,205.0,535000,375000.0,78.353,36.53,Principal_Residence,Home_Purchase,Conventional,0.398227496375513,0,Normal,False,False
744,43.0,45000,145000.0,50.3,77.48,Principal_Residence,Refinance,Conventional,0.48082347711042683,0,Normal,False,False
762,113.0,35000,375000.0,78.353,37.59,Principal_Residence,Home_Improvement,Conventional,0.38217802843019494,0,Normal,False,False
777,129.0,65000,575000.0,67.12,91.61,Principal_Residence,Home_Improvement,Conventional,0.5289312862124398,1,Global outlier,True,False
778,113.0,485000,615000.0,80.0,0.0,Principal_Residence,Home_Purchase,Conventional,0.5331694846103325,1,Global outlier,True,False
783,279.0,825000,375000.0,78.353,16.89,Principal_Residence,Home_Purchase,Conventional,0.4080332579616308,0,Normal,False,False
787,33.0,95000,375000.0,78.353,31.29,Principal_Residence,Home_Purchase,Conventional,0.3725997617688142,0,Normal,False,False
790,69.0,25000,375000.0,78.353,22.58,Principal_Residence,Home_Improvement,Conventional,0.4562926022580654,1,Global outlier,True,False
820,0.0,205000,655000.0,30.769,18.07,Principal_Residence,CashOut_Refinance,Conventional,0.4760276808888384,1,Contextual/local outlier,False,True
828,68.0,145000,145000.0,96.5,0.0,Principal_Residence,Home_Purchase,FHA,0.5262518126663371,2,Global outlier,True,False
836,140.0,145000,655000.0,89.88,47.44,Principal_Residence,CashOut_Refinance,Conventional,0.44060656303059814,0,Normal,False,False
854,99.0,335000,375000.0,89.333,56.85,Principal_Residence,CashOut_Refinance,VA,0.37847539711020745,0,Normal,False,False
863,69.0,225000,1165000.0,44.022,15.63,Principal_Residence,Other,Conventional,0.43460076482391474,1,Global outlier,True,False
865,95.0,775000,1265000.0,62.0,56.13,Investment,Home_Purchase,Conventional,0.4626386058629513,0,Normal,False,False
871,95.0,335000,425000.0,78.353,26.33,Principal_Residence,Home_Purchase,Conventional,0.36049100393025,0,Normal,False,False
886,95.0,85000,95000.0,95.53,97.29,Principal_Residence,Refinance,VA,0.45728504619303517,0,Normal,False,False
899,182.0,505000,1945000.0,63.91,11.83,Principal_Residence,Home_Improvement,Conventional,0.5298121175983681,1,Global outlier,True,False
904,295.0,245000,225000.0,106.114,43.11,Principal_Residence,Home_Purchase,Conventional,0.49193008137631977,2,Global outlier,True,False
912,225.0,105000,105000.0,431.682,67.32,Principal_Residence,Refinance,Conventional,0.4757261428716001,3,Both (global + contextual),True,True
914,60.0,285000,375000.0,95.0,0.0,Principal_Residence,Home_Purchase,Conventional,0.5205963579851934,2,Global outlier,True,False
974,88.0,345000,355000.0,96.5,0.0,Principal_Residence,Home_Purchase,FHA,0.5278942238606841,2,Global outlier,True,False
989,95.0,635000,915000.0,78.353,12.32,Principal_Residence,Refinance,Conventional,0.40195076282794884,0,Normal,False,False
999,120.0,105000,115000.0,91.228,0.0,Principal_Residence,Home_Purchase,Conventional,0.5257629918907942,1,Global outlier,True,False
1011,1449.0,2005000,3555000.0,56.338,20.69,Principal_Residence,Other,Conventional,0.6906743254595791,3,Global outlier,True,False
1016,147.0,475000,735000.0,65.0,30.04,Principal_Residence,Home_Purchase,Conventional,0.39574693063389116,0,Normal,False,False
1055,90.0,305000,385000.0,78.947,24.65,Principal_Residence,CashOut_Refinance,Conventional,0.4229450305949926,0,Normal,False,False
1065,1335.0,125000,565000.0,93.29,47.43,Principal_Residence,Other,Conventional,0.4970031941123165,1,Contextual/local outlier,False,True
1079,57.0,135000,345000.0,39.474,63.83,Principal_Residence,CashOut_Refinance,Conventional,0.41969204358217466,0,Normal,False,False
1096,175.0,65000,375000.0,69.547,64.03,Principal_Residence,Other,Conventional,0.5048869828765011,1,Global outlier,True,False
1102,146.0,155000,1255000.0,57.842,16.38,Principal_Residence,Home_Improvement,Conventional,0.46352014166270783,1,Global outlier,True,False
1104,130.0,165000,265000.0,61.12,74.15,Principal_Residence,CashOut_Refinance,Conventional,0.42092809940947445,0,Normal,False,False
1106,100.0,285000,375000.0,78.353,0.0,Principal_Residence,Home_Purchase,Conventional,0.5138577733731834,1,Global outlier,True,False
1142,137.0,285000,325000.0,78.353,25.09,Principal_Residence,CashOut_Refinance,VA,0.4122581508642587,0,Normal,False,False
1155,211.0,395000,425000.0,95.0,14.95,Principal_Residence,Home_Purchase,Conventional,0.43993612206114163,1,Global outlier,True,False
1157,110.0,95000,405000.0,84.3,11.56,Principal_Residence,Home_Improvement,Conventional,0.4066497993971257,0,Normal,False,False
1160,500.0,355000,1455000.0,24.138,24.72,Principal_Residence,Home_Improvement,Conventional,0.528468102920981,1,Global outlier,True,False
1165,179.0,645000,715000.0,90.0,37.4,Principal_Residence,Home_Purchase,Conventional,0.4169406698277259,0,Normal,False,False
1175,75.0,215000,245000.0,87.5,19.37,Principal_Residence,Home_Purchase,Conventional,0.42282287975416977,0,Normal,False,False
1182,233.0,415000,455000.0,89.99,47.48,Principal_Residence,Home_Purchase,Conventional,0.4066292426934442,0,Normal,False,False
1183,109.0,75000,575000.0,78.153,14.61,Principal_Residence,Other,Conventional,0.4101147076837572,0,Normal,False,False
1225,31.0,75000,85000.0,82.0,23.8,Principal_Residence,Home_Purchase,Conventional,0.41992262810784253,0,Normal,False,False
1226,271.0,605000,855000.0,70.59,35.41,Principal_Residence,Home_Purchase,Conventional,0.44292533518295685,1,Global outlier,True,False
1230,127.0,355000,365000.0,96.24,33.66,Principal_Residence,CashOut_Refinance,VA,0.35879995562412165,0,Normal,False,False
1255,244.0,975000,1505000.0,65.0,19.9,Principal_Residence,CashOut_Refinance,Conventional,0.4992591475792328,1,Global outlier,True,False
1261,95.0,325000,405000.0,80.0,9.34,Principal_Residence,Home_Purchase,Conventional,0.3573571809706666,0,Normal,False,False
1263,101.0,55000,305000.0,41.7,10.05,Principal_Residence,Other,Conventional,0.4304510082850766,0,Normal,False,False
1274,114.0,75000,495000.0,60.264,67.2,Principal_Residence,CashOut_Refinance,Conventional,0.436055757119454,0,Normal,False,False
1278,322.0,85000,455000.0,68.52,36.36,Principal_Residence,Home_Improvement,Conventional,0.47457274634705005,1,Global outlier,True,False
1282,766.0,1565000,1975000.0,79.179,30.99,Principal_Residence,Home_Purchase,Conventional,0.594883722844909,1,Global outlier,True,False
1287,179.0,645000,1525000.0,42.579,19.43,Principal_Residence,CashOut_Refinance,Conventional,0.5065078395742603,1,Global outlier,True,False
1309,95.0,5000,145000.0,78.353,86.09,Principal_Residence,Home_Purchase,Conventional,0.5993921924774592,1,Global outlier,True,False
1312,85.0,65000,405000.0,60.93,26.38,Principal_Residence,Home_Improvement,Conventional,0.4416919543007077,0,Normal,False,False
1333,188.0,405000,805000.0,50.0,90.73,Investment,CashOut_Refinance,Conventional,0.5249446983703757,1,Global outlier,True,False
1337,264.0,105000,1505000.0,34.147,19.43,Principal_Residence,Home_Improvement,Conventional,0.549411197706981,1,Global outlier,True,False
1341,130.0,75000,375000.0,70.0,0.0,Principal_Residence,Home_Purchase,Conventional,0.5448884008887475,2,Global outlier,True,False
1363,39.0,155000,325000.0,45.872,22.01,Principal_Residence,Refinance,Conventional,0.4161428439888385,0,Normal,False,False
1371,95.0,285000,295000.0,94.97,17.02,Principal_Residence,Home_Purchase,Conventional,0.3734076765409839,0,Normal,False,False
1393,112.0,35000,255000.0,64.989,31.05,Investment,Other,Conventional,0.3966458006395369,1,Contextual/local outlier,False,True
1396,58.0,5000,375000.0,78.353,7.44,Principal_Residence,Home_Purchase,FHA,0.3951045260820169,1,Contextual/local outlier,False,True
1400,95.0,205000,375000.0,78.353,7.51,Investment,Refinance,Conventional,0.4753941317626601,1,Global outlier,True,False
1407,40.0,165000,245000.0,68.163,81.8,Principal_Residence,Home_Purchase,FHA,0.39499748590262007,0,Normal,False,False
1419,34.0,25000,155000.0,73.47,6.36,Principal_Residence,Home_Improvement,Conventional,0.405739658232192,1,Contextual/local outlier,False,True
1420,95.0,325000,375000.0,78.353,43.63,Principal_Residence,Refinance,Conventional,0.4292996656754697,0,Normal,False,False
1443,119.0,295000,395000.0,75.0,8.64,Principal_Residence,Home_Purchase,Conventional,0.36197484487412,0,Normal,False,False
1450,268.0,575000,665000.0,86.454,25.54,Principal_Residence,Home_Purchase,Conventional,0.3985845173331446,0,Normal,False,False
1469,29.0,35000,105000.0,35.0,5.38,Principal_Residence,CashOut_Refinance,Conventional,0.45660317635236297,0,Normal,False,False
1475,37.0,145000,145000.0,78.353,3.64,Investment,Home_Purchase,Conventional,0.42981743407586065,0,Normal,False,False
1496,81.0,15000,85000.0,22.5,89.56,Principal_Residence,Home_Improvement,Conventional,0.5634620525923354,1,Global outlier,True,False
1498,59.0,315000,355000.0,90.0,9.03,Principal_Residence,CashOut_Refinance,VA,0.3813383595223728,0,Normal,False,False
1500,330.0,785000,975000.0,80.0,7.54,Second_Residence,Home_Purchase,Conventional,0.49002691406271764,1,Global outlier,True,False
1502,130.0,375000,405000.0,93.75,0.0,Principal_Residence,Home_Purchase,Conventional,0.5274054710846721,2,Global outlier,True,False
1510,183.0,925000,945000.0,96.5,80.77,Principal_Residence,Home_Purchase,FHA,0.5050129277337805,1,Global outlier,True,False
1514,51.0,155000,195000.0,80.0,7.64,Principal_Residence,CashOut_Refinance,Conventional,0.3698433282500648,0,Normal,False,False
1525,132.0,365000,375000.0,78.353,12.67,Principal_Residence,Home_Purchase,Conventional,0.3515851511686775,0,Normal,False,False
1539,49.0,15000,375000.0,78.353,15.68,Principal_Residence,Home_Improvement,Conventional,0.3719867002674448,0,Normal,False,False
1553,62.0,185000,355000.0,53.0,11.56,Principal_Residence,CashOut_Refinance,Conventional,0.3959195209505141,0,Normal,False,False
1565,95.0,325000,475000.0,78.353,24.16,Principal_Residence,CashOut_Refinance,VA,0.3619309786549884,0,Normal,False,False
1571,90.0,255000,285000.0,90.0,27.92,Principal_Residence,Home_Purchase,Conventional,0.356763642132724,0,Normal,False,False
1583,291.0,645000,1325000.0,80.0,11.81,Principal_Residence,Home_Purchase,Conventional,0.4541562922580199,0,Normal,False,False
1589,225.0,335000,445000.0,74.62,82.69,Principal_Residence,Refinance,Conventional,0.39326328816550254,0,Normal,False,False
1591,108.0,25000,535000.0,23.505,24.08,Principal_Residence,Other,Conventional,0.4901552852880326,1,Global outlier,True,False
1595,105.0,575000,615000.0,95.0,40.77,Principal_Residence,Home_Purchase,Conventional,0.39075629157693464,0,Normal,False,False
1601,131.0,45000,805000.0,84.1213,36.32,Principal_Residence,Home_Improvement,Conventional,0.3992348446414534,0,Normal,False,False
1618,95.0,195000,375000.0,78.353,92.37,Investment,Home_Purchase,Conventional,0.4983099601675992,1,Global outlier,True,False
1624,42.0,95000,105000.0,78.353,43.76,Principal_Residence,Home_Purchase,Conventional,0.40437181028934777,0,Normal,False,False
1680,39.0,475000,955000.0,50.0,37.28,Principal_Residence,Refinance,Conventional,0.4948306333491556,1,Global outlier,True,False
1690,58.0,225000,335000.0,64.85,79.13,Principal_Residence,CashOut_Refinance,Conventional,0.43419230336825027,0,Normal,False,False
1746,1555.0,2005000,4805000.0,41.667,23.63,Principal_Residence,Home_Purchase,Conventional,0.6877032629395883,3,Both (global + contextual),True,True
1785,53.0,5000,225000.0,89.545,52.49,Principal_Residence,Home_Purchase,Conventional,0.5208105757134254,1,Global outlier,True,False
1789,317.0,1145000,375000.0,78.353,11.21,Principal_Residence,Home_Purchase,Conventional,0.4525741162009841,0,Normal,False,False
1798,84.0,265000,525000.0,50.381,34.29,Principal_Residence,CashOut_Refinance,FHA,0.3988750475479549,0,Normal,False,False
1800,84.0,205000,375000.0,78.353,6.9,Principal_Residence,CashOut_Refinance,FHA,0.3496006936824816,0,Normal,False,False
1820,212.0,75000,925000.0,61.703,26.25,Principal_Residence,Home_Improvement,Conventional,0.4922986682240114,1,Global outlier,True,False
1833,95.0,525000,555000.0,78.353,48.12,Principal_Residence,Home_Purchase,Conventional,0.36625888496246445,0,Normal,False,False
1837,354.0,1105000,1905000.0,57.895,17.82,Principal_Residence,CashOut_Refinance,Conventional,0.5593808679606318,1,Global outlier,True,False
1881,410.0,205000,1515000.0,61.75,19.53,Principal_Residence,Home_Improvement,Conventional,0.5183236823838218,1,Global outlier,True,False
1883,395.0,205000,935000.0,21.505,66.04,Principal_Residence,Home_Improvement,Conventional,0.5707100157646338,1,Global outlier,True,False
1909,226.0,295000,375000.0,80.0,3.84,Second_Residence,Home_Purchase,Conventional,0.38049152422151994,0,Normal,False,False
1919,128.0,145000,185000.0,80.0,14.5,Principal_Residence,CashOut_Refinance,Conventional,0.358192335686111,0,Normal,False,False
1923,198.0,635000,705000.0,89.99,76.62,Principal_Residence,Home_Purchase,Conventional,0.4345598431434722,0,Normal,False,False
1976,19.0,185000,275000.0,7.273,98.9,Principal_Residence,Refinance,FHA,0.5229280779397357,0,Normal,False,False
1983,78.0,125000,125000.0,99.265,40.45,Principal_Residence,Home_Purchase,Conventional,0.39443636822402367,0,Normal,False,False
1991,175.0,425000,575000.0,78.353,7.9,Principal_Residence,CashOut_Refinance,Conventional,0.38554035606361325,0,Normal,False,False
1993,71.0,5000,245000.0,100.5,8.14,Principal_Residence,Home_Purchase,Conventional,0.499507140932534,1,Global outlier,True,False
2007,26.0,115000,115000.0,96.5,19.49,Principal_Residence,Home_Purchase,FHA,0.37942763464137585,0,Normal,False,False
2019,40.0,105000,175000.0,60.0,65.4,Principal_Residence,Home_Purchase,Conventional,0.3871326834282604,0,Normal,False,False
2020,95.0,125000,535000.0,78.353,19.59,Principal_Residence,Refinance,Conventional,0.36930976517486086,0,Normal,False,False
2032,100.0,395000,495000.0,80.0,27.89,Principal_Residence,Home_Purchase,Conventional,0.42067297757793587,0,Normal,False,False
2036,397.0,655000,1345000.0,78.353,39.71,Principal_Residence,Home_Purchase,Conventional,0.478373322450638,0,Normal,False,False
2043,130.0,255000,315000.0,79.62,68.52,Principal_Residence,CashOut_Refinance,Conventional,0.47900126869504106,1,Global outlier,True,False
2045,58.0,85000,375000.0,78.353,5.18,Principal_Residence,Home_Improvement,Conventional,0.46428125489453953,1,Global outlier,True,False
2047,76.0,15000,375000.0,78.353,64.8,Principal_Residence,Home_Purchase,Conventional,0.37009118595901713,0,Normal,False,False
2054,72.0,245000,305000.0,80.0,0.0,Principal_Residence,Home_Purchase,Conventional,0.5115748408845131,1,Global outlier,True,False
2068,95.0,355000,455000.0,78.353,49.1,Principal_Residence,CashOut_Refinance,VA,0.36091291757451927,0,Normal,False,False
