feature,bin_left,bin_right,count
income,-2058.0,-1980.47,1
income,-1980.47,-1902.95,0
income,-1902.95,-1825.42,0
income,-1825.42,-1747.9,0
income,-1747.9,-1670.38,0
income,-1670.38,-1592.85,0
income,-1592.85,-1515.32,0
income,-1515.32,-1437.8,0
income,-1437.8,-1360.28,0
income,-1360.28,-1282.75,0
income,-1282.75,-1205.22,0
income,-1205.22,-1127.7,0
income,-1127.7,-1050.17,0
income,-1050.17,-972.65,0
income,-972.65,-895.12,0
income,-895.12,-817.6,0
income,-817.6,-740.07,0
income,-740.07,-662.55,1
income,-662.55,-585.02,1
income,-585.02,-507.5,2
income,-507.5,-429.97,0
income,-429.97,-352.45,2
income,-352.45,-274.92,0
income,-274.92,-197.4,2
income,-197.4,-119.87,6
income,-119.87,-42.35,22
income,-42.35,35.18,6190
income,35.18,112.7,58301
income,112.7,190.23,21224
income,190.23,267.75,7000
income,267.75,345.28,3040
income,345.28,422.8,1417
income,422.8,500.33,810
income,500.33,577.85,486
income,577.85,655.38,319
income,655.38,732.9,220
income,732.9,810.43,166
income,810.43,887.95,91
income,887.95,965.48,112
income,965.48,1043.0,582
loan_amount,5000.0,57750.0,10654
loan_amount,57750.0,110500.0,12794
loan_amount,110500.0,163250.0,11851
loan_amount,163250.0,216000.0,13764
loan_amount,216000.0,268750.0,10472
loan_amount,268750.0,321500.0,8812
loan_amount,321500.0,374250.0,7017
loan_amount,374250.0,427000.0,6514
loan_amount,427000.0,479750.0,3704
loan_amount,479750.0,532500.0,3159
loan_amount,532500.0,585250.0,2586
loan_amount,585250.0,638000.0,1614
loan_amount,638000.0,690750.0,1617
loan_amount,690750.0,743500.0,772
loan_amount,743500.0,796250.0,711
loan_amount,796250.0,849000.0,500
loan_amount,849000.0,901750.0,393
loan_amount,901750.0,954500.0,322
loan_amount,954500.0,1007250.0,525
loan_amount,1007250.0,1060000.0,173
loan_amount,1060000.0,1112750.0,183
loan_amount,1112750.0,1165500.0,180
loan_amount,1165500.0,1218250.0,149
loan_amount,1218250.0,1271000.0,114
