feature,corr,mi,score,role
debt_to_income_ratio,,0.09039033545405185,0.5,Strong discovery candidate
tract_to_msa_income_percentage,0.09409235182061951,0.004526708016230119,0.3265011972898928,Strong discovery candidate
tract_minority_population_percent,-0.07791382766173321,0.011268354294711624,0.3119588607008142,Strong discovery candidate
loan_amount,0.04365828178835754,0.02416222889325037,0.27353120909865325,Strong discovery candidate
ffiec_msa_md_median_family_income,0.06353494769587119,0.007614844632668261,0.24568090478617666,Strong discovery candidate
combined_loan_to_value_ratio,-0.007590617712809002,0.03899436525314259,0.24001935312641506,Strong discovery candidate
tract_owner_occupied_units,0.0576681396632462,0.0040621177246060736,0.20723216590029353,Strong discovery candidate
income,-0.005844077211584543,0.028657258682444287,0.17724325674485714,Strong discovery candidate
loan_term,0.01359907445515328,0.022019322306454203,0.16537122906874235,Strong discovery candidate
tract_one_to_four_family_homes,0.03850819059547867,0.006309419102685565,0.15827691571518776,Strong discovery candidate
tract_population,0.03339622494188623,0.008570322633429939,0.15440508139660636,Strong discovery candidate
loan_purpose,,0.02621006292003856,0.1449826620754269,Moderate discovery candidate
income_band,,0.024829242631841685,0.13734456514138693,Moderate discovery candidate
any_exempt_field,0.038942231776955466,0.0,0.1247665745656554,Moderate discovery candidate
property_value,0.007652924226354957,0.018122130712810103,0.12476285788295595,Moderate discovery candidate
lien_status,,0.011287396635089708,0.06243696617780246,Moderate discovery candidate
derived_race,,0.00676677845445817,0.03743087366844616,Weak / supporting
derived_sex,,0.006055367407888382,0.03349565734804972,Weak / supporting
cltv_band,,0.0051470801377682465,0.028471407434839443,Weak / supporting
tract_income_cat,,0.005095793102585622,0.028187709875111416,Weak / supporting
