field,missing_pct,fate
multifamily_affordable_units,99.7,dropped
total_points_and_fees,99.4,dropped
prepayment_penalty_term,96.2,dropped
lender_credits,83.7,dropped
intro_rate_period,80.7,dropped
discount_points,75.2,dropped
total_loan_costs,53.3,median_imputed
origination_charges,52.9,median_imputed
rate_spread,51.1,median_imputed
interest_rate,36.4,median_imputed
combined_loan_to_value_ratio,34.6,median_imputed
debt_to_income_ratio,32.2,filled_unknown
property_value,22.5,median_imputed
income,11.5,median_imputed
loan_term,3.5,median_imputed
state_code,1.1,filled_unknown
conforming_loan_limit,0.4,filled_unknown
