kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,_approved,anomaly_votes,iso_score,tract_minority_population_percent
5,97.0,245000,445000.0,69.06,30%-<36%,Race Not Available,Other,Principal_Residence,Approved_NotAccepted,,0,0.4001632769525654,42.05
3,95.0,235000,235000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,,0,0.3727451426563138,62.47
0,51.0,175000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Withdrawn,,0,0.34872871533946626,13.74
5,48.0,65000,245000.0,67.559,36%-<43%,White,Refinance,Principal_Residence,Originated,1.0,0,0.3779749603762312,9.16
2,95.0,445000,625000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Purchased,,0,0.4183112642412072,54.2
0,146.0,165000,205000.0,80.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.36554214361347537,6.57
3,60.0,105000,195000.0,52.0,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.42509420439952117,41.82
6,132.0,275000,815000.0,100.019,>60%,Race Not Available,Other,Principal_Residence,Denied,0.0,0,0.43994679543094123,27.27
2,229.0,235000,315000.0,75.0,36%-<43%,Asian,Home_Purchase,Investment,Originated,1.0,0,0.3704041027437888,51.23
0,75.0,295000,345000.0,85.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3718202257465956,32.68
4,74.0,175000,375000.0,78.353,Exempt,White,Refinance,Principal_Residence,Approved_NotAccepted,,0,0.3660603817249905,6.66
3,71.0,135000,165000.0,80.0,43%-<50%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.3570951718224016,10.19
6,36.0,75000,285000.0,24.91,>60%,Black or African American,Home_Improvement,Principal_Residence,Denied,0.0,0,0.48689116056892306,91.53
0,135.0,305000,325000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.34965801812467967,34.79
0,39.0,135000,145000.0,96.74,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3887281896798565,7.29
5,202.0,255000,1105000.0,69.975,43%-<50%,White,Refinance,Principal_Residence,Denied,0.0,0,0.4393167188441415,74.53
0,45.0,215000,245000.0,87.14,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.36517777921324,31.5
2,95.0,665000,835000.0,80.0,Unknown,Race Not Available,Home_Purchase,Investment,Originated,1.0,2,0.5662264708470526,23.2
0,212.0,365000,455000.0,80.0,20%-<30%,White,Home_Purchase,Second_Residence,Preapproval_Approved_NotAccepted,,1,0.535346663289545,0.0
5,190.0,65000,645000.0,85.09,36%-<43%,White,Home_Improvement,Principal_Residence,Denied,0.0,0,0.4191552274785888,10.23
0,48.0,125000,135000.0,104.692,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3964901003805033,23.35
5,45.0,25000,105000.0,80.0,20%-<30%,White,Home_Improvement,Principal_Residence,Originated,1.0,0,0.4027996640229923,72.73
2,171.0,185000,245000.0,73.77,43%-<50%,White,CashOut_Refinance,Investment,Originated,1.0,0,0.4138607335916769,17.16
0,138.0,645000,375000.0,78.353,Unknown,Asian,Home_Purchase,Principal_Residence,Withdrawn,,0,0.4010231982755092,45.13
6,123.0,85000,645000.0,84.98,50%-60%,White,Other,Principal_Residence,Originated,1.0,0,0.44788119988620934,30.41
