state_code,dti_band,approval_rate,n
AK,20%-<30%,82.4,17
AK,30%-<36%,80.0,15
AK,36%-<43%,75.0,20
AK,43%-<50%,94.1,17
AL,20%-<30%,82.5,189
AL,30%-<36%,82.1,162
AL,36%-<43%,84.8,237
AL,43%-<50%,79.5,171
AL,50%-60%,55.1,89
AL,<20%,70.0,90
AL,>60%,4.1,49
AR,20%-<30%,88.7,106
AR,30%-<36%,81.4,86
AR,36%-<43%,81.3,134
AR,43%-<50%,80.6,72
AR,50%-60%,36.7,30
AR,<20%,66.7,48
AR,>60%,3.7,27
AZ,20%-<30%,84.8,276
AZ,30%-<36%,83.0,271
AZ,36%-<43%,84.9,430
AZ,43%-<50%,86.1,459
AZ,50%-60%,54.2,142
AZ,<20%,72.1,122
AZ,>60%,6.2,113
CA,20%-<30%,85.2,742
CA,30%-<36%,86.6,835
CA,36%-<43%,88.5,1487
CA,43%-<50%,84.4,1627
CA,50%-60%,56.8,595
CA,<20%,73.3,303
CA,>60%,9.4,435
CO,20%-<30%,88.8,258
CO,30%-<36%,88.5,244
CO,36%-<43%,85.8,381
CO,43%-<50%,88.5,400
CO,50%-60%,70.0,180
CO,<20%,84.5,103
CO,>60%,17.0,112
CT,20%-<30%,88.3,128
CT,30%-<36%,85.5,110
CT,36%-<43%,79.4,141
CT,43%-<50%,82.6,144
CT,50%-60%,58.3,60
CT,<20%,79.1,43
CT,>60%,2.8,36
DC,20%-<30%,89.5,19
DC,30%-<36%,96.0,25
DC,36%-<43%,63.2,19
DC,43%-<50%,81.0,21
DE,20%-<30%,86.0,43
DE,30%-<36%,87.2,47
DE,36%-<43%,89.8,49
DE,43%-<50%,83.3,54
DE,50%-60%,80.0,15
DE,<20%,80.0,15
DE,>60%,6.7,15
FL,20%-<30%,83.4,710
FL,30%-<36%,82.1,736
FL,36%-<43%,85.8,1211
FL,43%-<50%,80.1,1363
FL,50%-60%,54.2,565
FL,<20%,67.2,317
FL,>60%,5.8,479
GA,20%-<30%,80.5,364
GA,30%-<36%,82.4,296
GA,36%-<43%,85.8,522
GA,43%-<50%,83.0,507
GA,50%-60%,62.7,209
GA,<20%,62.5,152
GA,>60%,4.8,146
HI,20%-<30%,82.1,28
HI,30%-<36%,83.3,30
HI,36%-<43%,93.9,49
HI,43%-<50%,89.5,76
HI,50%-60%,65.6,32
HI,>60%,11.1,27
IA,20%-<30%,95.5,110
IA,30%-<36%,90.0,120
IA,36%-<43%,92.0,125
IA,43%-<50%,87.6,105
IA,50%-60%,51.7,29
IA,<20%,89.1,64
IA,>60%,5.3,19
ID,20%-<30%,83.3,72
ID,30%-<36%,92.1,63
ID,36%-<43%,92.9,140
ID,43%-<50%,89.2,93
ID,50%-60%,58.1,31
ID,<20%,83.7,43
ID,>60%,11.1,27
IL,20%-<30%,86.6,352
IL,30%-<36%,85.3,333
IL,36%-<43%,84.7,419
IL,43%-<50%,85.6,417
IL,50%-60%,58.6,152
IL,<20%,78.8,132
IL,>60%,5.0,101
IN,20%-<30%,86.7,301
IN,30%-<36%,88.5,244
IN,36%-<43%,86.4,330
IN,43%-<50%,82.8,291
IN,50%-60%,53.3,90
IN,<20%,84.2,133
IN,>60%,7.0,71
KS,20%-<30%,87.4,87
KS,30%-<36%,86.2,58
