state_code,kmeans_cluster,n,pct
AK,0,46,28.2
AK,1,10,6.1
AK,2,87,53.4
AK,3,1,0.6
AK,4,9,5.5
AK,5,1,0.6
AK,6,9,5.5
AL,0,400,25.0
AL,1,109,6.8
AL,2,640,40.1
AL,3,156,9.8
AL,4,107,6.7
AL,5,29,1.8
AL,6,157,9.8
AR,0,198,23.3
AR,1,83,9.8
AR,2,350,41.2
AR,3,101,11.9
AR,4,38,4.5
AR,5,18,2.1
AR,6,62,7.3
AZ,0,880,30.4
AZ,1,197,6.8
AZ,2,951,32.9
AZ,3,145,5.0
AZ,4,232,8.0
AZ,5,117,4.0
AZ,6,368,12.7
CA,0,2730,28.4
CA,1,868,9.0
CA,2,2557,26.6
CA,3,268,2.8
CA,4,946,9.8
CA,5,831,8.6
CA,6,1410,14.7
CO,0,646,25.5
CO,1,176,6.9
CO,2,830,32.7
CO,3,76,3.0
CO,4,268,10.6
CO,5,118,4.7
CO,6,422,16.6
CT,0,282,27.6
CT,1,81,7.9
CT,2,326,31.9
CT,3,3,0.3
CT,4,93,9.1
CT,5,72,7.1
CT,6,164,16.1
DC,0,35,20.8
DC,1,18,10.7
DC,2,70,41.7
DC,4,8,4.8
DC,5,20,11.9
DC,6,17,10.1
DE,0,95,24.6
DE,1,25,6.5
DE,2,156,40.4
DE,3,21,5.4
DE,4,25,6.5
DE,5,18,4.7
DE,6,46,11.9
FL,0,2256,25.6
FL,1,651,7.4
FL,2,3118,35.3
FL,3,356,4.0
FL,4,958,10.9
FL,5,457,5.2
FL,6,1029,11.7
GA,0,1028,28.2
GA,1,240,6.6
GA,2,1438,39.4
GA,3,163,4.5
GA,4,315,8.6
GA,5,124,3.4
GA,6,342,9.4
HI,0,79,23.0
HI,1,36,10.5
HI,2,88,25.7
HI,4,54,15.7
HI,5,21,6.1
HI,6,65,19.0
IA,0,227,26.5
IA,1,62,7.3
IA,2,330,38.6
IA,3,21,2.5
IA,4,42,4.9
IA,5,11,1.3
IA,6,162,18.9
ID,0,210,29.7
ID,1,46,6.5
ID,2,201,28.5
ID,3,23,3.3
ID,4,56,7.9
ID,5,33,4.7
ID,6,137,19.4
IL,0,722,23.4
IL,1,226,7.3
IL,2,1415,45.9
IL,3,27,0.9
IL,4,249,8.1
IL,5,134,4.3
IL,6,313,10.1
IN,0,612,27.5
IN,1,121,5.4
IN,2,882,39.6
IN,3,100,4.5
IN,4,152,6.8
IN,5,48,2.2
IN,6,310,13.9
KS,0,169,25.0
KS,1,57,8.4
KS,2,283,41.8
KS,3,24,3.5
KS,4,54,8.0
KS,5,14,2.1
KS,6,76,11.2
KY,0,303,24.2
KY,1,79,6.3
KY,2,496,39.6
KY,3,112,8.9
KY,4,87,6.9
KY,5,32,2.6
