state_code,n,approval_rate,median_income,median_loan,median_cltv,pct_of_national,top_denial_reason
CA,6568,77.2,125.0,375000.0,73.144,9.68,Debt-to-income
FL,5732,71.2,95.0,235000.0,77.75,8.45,Debt-to-income
TX,5346,74.0,96.0,235000.0,78.353,7.88,Debt-to-income
NC,2747,77.6,95.0,205000.0,78.353,4.05,Debt-to-income
PA,2741,76.3,88.0,145000.0,78.353,4.04,Debt-to-income
OH,2534,76.8,80.0,135000.0,78.493,3.74,Debt-to-income
NY,2490,76.7,106.0,225000.0,77.6935,3.67,Debt-to-income
GA,2374,74.2,92.0,225000.0,78.353,3.5,Credit history
MI,2164,78.4,78.0,135000.0,78.353,3.19,Debt-to-income
IL,2101,78.3,95.0,175000.0,80.0,3.1,Debt-to-income
AZ,1900,76.7,94.0,255000.0,75.0,2.8,Debt-to-income
VA,1871,77.4,95.0,235000.0,80.0,2.76,Debt-to-income
WA,1770,80.1,115.0,305000.0,74.3515,2.61,Debt-to-income
CO,1764,81.0,105.0,305000.0,77.08600000000001,2.6,Debt-to-income
NJ,1701,74.8,121.0,255000.0,76.0,2.51,Debt-to-income
TN,1655,78.2,88.0,195000.0,78.353,2.44,Debt-to-income
IN,1559,79.9,77.0,145000.0,78.353,2.3,Debt-to-income
MA,1344,79.7,116.0,285000.0,75.0,1.98,Debt-to-income
SC,1304,75.8,83.0,205000.0,78.353,1.92,Credit history
MD,1289,74.2,106.0,265000.0,80.0,1.9,Debt-to-income
WI,1271,83.9,92.0,145000.0,78.353,1.87,Debt-to-income
MO,1244,81.6,84.0,155000.0,78.6385,1.83,Debt-to-income
MN,1115,84.9,95.0,195000.0,79.99,1.64,Debt-to-income
AL,1081,75.1,81.0,155000.0,80.0,1.59,Credit history
UT,1006,80.5,98.0,255000.0,75.19,1.48,Debt-to-income
OR,969,82.1,99.0,285000.0,76.96,1.43,Debt-to-income
KY,888,77.4,76.5,145000.0,78.353,1.31,Credit history
LA,796,68.8,83.0,165000.0,79.2045,1.17,Credit history
OK,736,78.4,78.0,155000.0,80.0,1.09,Credit history
CT,729,74.8,95.0,215000.0,78.353,1.07,Debt-to-income
NV,727,77.6,95.0,285000.0,78.353,1.07,Credit history
IA,636,86.9,79.0,125000.0,80.0,0.94,Credit history
AR,573,74.7,83.0,145000.0,78.353,0.84,Credit history
MS,561,69.3,74.0,135000.0,78.353,0.83,Credit history
KS,499,80.6,86.0,145000.0,78.961,0.74,Debt-to-income
ID,494,82.4,95.0,235000.0,74.8545,0.73,Debt-to-income
NM,382,72.8,79.0,185000.0,78.353,0.56,Debt-to-income
NE,346,82.9,89.0,155000.0,78.353,0.51,Credit history
ME,298,80.5,95.0,195000.0,78.353,0.44,Credit history
NH,291,80.1,105.0,235000.0,75.0,0.43,Collateral
RI,266,76.3,96.0,235000.0,75.0,0.39,Debt-to-income
HI,264,76.1,123.5,345000.0,69.3435,0.39,Debt-to-income
WV,261,72.8,75.0,135000.0,78.353,0.38,Credit history
DE,255,79.2,91.0,225000.0,78.63,0.38,Collateral
MT,219,83.1,93.0,265000.0,73.494,0.32,Credit history
SD,162,90.1,84.0,185000.0,79.8935,0.24,Debt-to-income
Unknown,141,18.4,73.0,155000.0,94.498,0.21,Debt-to-income
PR,123,76.4,52.0,125000.0,95.0,0.18,Debt-to-income
VT,121,80.2,95.0,195000.0,77.099,0.18,Credit history
ND,111,91.9,95.0,185000.0,80.0,0.16,Credit history
WY,109,79.8,88.0,195000.0,78.353,0.16,Debt-to-income
DC,107,77.6,132.0,445000.0,75.0,0.16,Debt-to-income
AK,92,77.2,103.0,285000.0,80.0,0.14,Debt-to-income
