term_band,loan_purpose,pct
<=10yr,CashOut_Refinance,10.4
15yr,CashOut_Refinance,28.6
20yr,CashOut_Refinance,20.9
25yr,CashOut_Refinance,6.3
30yr,CashOut_Refinance,20.2
>30yr,CashOut_Refinance,2.3
<=10yr,Home_Improvement,26.0
15yr,Home_Improvement,14.3
20yr,Home_Improvement,24.4
25yr,Home_Improvement,26.0
30yr,Home_Improvement,7.4
>30yr,Home_Improvement,28.6
<=10yr,Home_Purchase,23.9
15yr,Home_Purchase,19.8
20yr,Home_Purchase,18.4
25yr,Home_Purchase,35.7
30yr,Home_Purchase,54.8
>30yr,Home_Purchase,26.4
<=10yr,NotApplicable,0.3
15yr,NotApplicable,0.0
20yr,NotApplicable,0.1
25yr,NotApplicable,0.0
30yr,NotApplicable,0.0
>30yr,NotApplicable,0.0
<=10yr,Other,20.8
15yr,Other,11.3
20yr,Other,17.5
25yr,Other,19.6
30yr,Other,6.8
>30yr,Other,24.6
<=10yr,Refinance,18.6
15yr,Refinance,26.0
20yr,Refinance,18.7
25yr,Refinance,12.3
30yr,Refinance,10.9
>30yr,Refinance,18.1
