row,clarans_cluster
81485,1
65936,1
94859,1
12254,0
83717,6
80145,2
6956,6
87263,5
61213,0
15643,6
49126,0
78455,0
85632,1
49922,4
52724,5
83927,1
16353,3
33284,5
72345,3
2424,1
52076,6
5727,2
77515,6
59219,1
24398,1
25227,2
2396,6
76529,1
43981,4
23028,5
76001,6
95266,1
80152,1
29138,3
4896,6
91279,3
50978,4
26359,3
2092,1
49856,1
60807,1
49808,4
7891,0
19483,6
89393,1
57851,1
92057,1
25252,4
89104,1
35583,0
99328,4
23182,1
8994,1
83554,1
45843,0
96505,5
63169,5
30950,5
88907,1
84083,1
95763,1
73209,0
78311,6
15074,6
77427,3
86830,4
21859,1
18039,1
64405,5
86843,5
12011,4
10942,4
68733,5
58832,6
85418,5
91609,4
16315,0
17143,1
95671,3
63914,0
39638,1
86899,5
4048,1
43748,0
63097,4
20727,4
49810,6
66595,1
94698,1
79766,1
78994,1
31891,0
25800,6
75701,1
70381,1
27008,6
51697,4
15877,2
76055,1
47804,4
10540,1
5673,6
54612,5
89265,6
16431,1
10631,3
23830,6
12088,6
84863,0
50971,0
71373,1
31132,6
27791,1
82265,1
37328,6
49276,5
4435,1
61540,6
87893,2
90939,4
42120,3
13136,1
34526,1
75201,1
54531,4
77941,3
9584,6
48263,5
35025,1
51878,4
34949,6
75161,6
63928,6
34662,6
12682,5
91029,6
54522,1
26219,1
6789,5
24732,6
53146,1
2196,4
89350,6
87109,5
11944,5
73746,6
61077,6
48468,1
37371,1
45848,5
45810,6
38815,6
48962,1
288,5
49517,1
5284,0
96366,3
60670,1
14861,5
24206,4
38479,6
64601,5
80800,5
9346,6
33168,1
70983,6
55532,0
84211,5
60387,6
60343,6
72571,1
27752,6
83322,6
32112,1
82819,6
18993,0
437,1
37687,6
28291,5
78900,6
1573,5
81555,1
93107,0
55792,6
55267,4
79124,6
47877,1
85859,6
51269,1
18428,4
58878,1
66534,1
66189,6
6419,0
24371,1
64544,3
82868,6
7586,1
37075,2
71434,4
26249,6
68007,5
8828,6
50319,5
60896,5
94490,1
11602,6
9921,6
81451,3
58680,6
64396,5
8810,1
45016,6
18462,5
29708,6
25007,1
93513,6
83397,6
2431,6
52092,6
27440,6
86847,5
96973,1
7417,2
49878,6
55401,6
93093,3
25629,6
7639,1
57462,5
35357,6
77666,1
57864,4
92045,4
66616,5
86333,5
25328,4
41282,1
60169,5
56015,1
21949,6
13020,1
76242,3
13490,4
48585,5
51243,5
82493,4
37721,1
55638,6
41368,5
69342,5
50772,6
19891,1
72718,5
24906,5
63685,6
72515,4
74451,4
73010,5
22620,6
47839,2
61494,4
24750,1
7014,6
22765,1
31209,6
51952,6
89230,4
33837,2
13893,4
84213,0
74702,4
5802,6
71667,4
7540,3
46215,5
971,6
17955,4
1607,3
60871,5
31210,1
92330,4
37095,4
18104,5
77345,4
6115,6
2838,6
65116,6
55320,4
37297,1
76245,4
54693,6
94901,4
58210,3
8391,2
27924,5
58372,2
11274,1
32015,1
12103,6
46441,0
44606,4
38109,0
30003,6
26530,6
74069,4
52149,0
78524,0
2081,4
98284,4
6716,5
81026,5
43497,3
82184,5
74091,6
9316,6
19415,6
49677,1
4424,1
99230,1
74251,0
11773,5
45234,4
80772,2
60956,1
48022,6
96461,1
71931,1
93352,1
3741,1
59740,5
45736,3
69168,6
72583,6
58229,2
96172,6
43512,6
85767,6
53204,4
52052,0
58202,5
96589,1
63483,1
83060,6
95864,6
89085,5
23508,0
49824,1
40205,5
6377,6
74897,0
52439,2
20884,3
31278,1
83505,4
49617,5
46651,3
86579,6
62341,4
46600,6
78777,2
31303,3
4180,1
