,kmeans_cluster
0,1
1,5
2,2
3,0
4,3
5,2
6,0
7,0
8,3
9,2
10,2
11,0
12,2
13,4
14,2
15,4
16,1
17,0
18,0
19,6
20,0
21,4
22,2
23,0
24,2
25,0
26,1
27,2
28,5
29,0
30,6
31,4
32,5
33,0
34,6
35,2
36,2
37,0
38,0
39,2
40,1
41,6
42,2
43,0
44,2
45,2
46,6
47,2
48,2
49,6
50,6
51,6
52,2
53,0
54,2
55,0
56,4
57,2
58,6
59,2
60,6
61,2
62,4
63,5
64,2
65,2
66,2
67,6
68,2
69,6
70,4
71,6
72,1
73,0
74,0
75,2
76,1
77,3
78,1
79,1
80,2
81,0
82,2
83,0
84,3
85,3
86,0
87,2
88,0
89,6
90,0
91,2
92,4
93,6
94,0
95,2
96,2
97,6
98,2
99,4
100,3
101,2
102,2
103,0
104,2
105,0
106,2
107,4
108,2
109,0
110,4
111,6
112,6
113,0
114,2
115,0
116,2
117,4
118,1
119,3
120,2
121,2
122,0
123,0
124,5
125,1
126,6
127,0
128,2
129,0
130,2
131,0
132,6
133,6
134,5
135,2
136,6
137,5
138,5
139,0
140,5
141,0
142,1
143,1
144,4
145,2
146,6
147,2
148,0
149,2
150,2
151,6
152,0
153,2
154,2
155,6
156,0
157,4
158,1
159,6
160,0
161,4
162,0
163,2
164,2
165,2
166,2
167,2
168,5
169,2
170,5
171,2
172,2
173,2
174,4
175,2
176,2
177,0
178,0
179,2
180,5
181,2
182,2
183,2
184,0
185,4
186,4
187,0
188,2
189,2
190,2
191,6
192,2
193,2
194,0
195,6
196,5
197,1
198,2
199,0
200,2
201,2
202,1
203,6
204,2
205,6
206,1
207,6
208,3
209,5
210,3
211,0
212,0
213,2
214,0
215,2
216,6
217,2
218,5
219,2
220,6
221,0
222,2
223,0
224,0
225,0
226,0
227,3
228,4
229,0
230,0
231,6
232,2
233,0
234,2
235,0
236,4
237,0
238,0
239,0
240,4
241,0
242,6
243,3
244,2
245,0
246,0
247,0
248,6
249,0
250,0
251,3
252,1
253,2
254,2
255,2
256,2
257,0
258,2
259,1
260,0
261,5
262,2
263,4
264,2
265,2
266,6
267,0
268,4
269,2
270,2
271,2
272,4
273,0
274,1
275,0
276,1
277,5
278,2
279,2
280,2
281,2
282,2
283,0
284,0
285,0
286,0
287,2
288,2
289,0
290,0
291,0
292,2
293,0
294,2
295,2
296,2
297,1
298,4
299,4
300,2
301,2
302,0
303,0
304,2
305,2
306,2
307,4
308,2
309,0
310,3
311,0
312,3
313,4
314,2
315,2
316,2
317,4
318,2
319,1
320,2
321,2
322,2
323,4
324,4
325,2
326,0
327,0
328,4
329,3
330,2
331,2
332,2
333,5
334,3
335,2
336,3
337,2
338,0
339,3
340,5
341,2
342,2
343,5
344,0
345,0
346,3
347,0
348,0
349,2
350,2
351,4
352,2
353,2
354,2
355,2
