antecedent,consequent,support,confidence,lift,leverage,conviction,n_items,improvement,best_subrule,kept,decision_reason
"debt_to_income_ratio=>60%, lien_status=Subordinate_Lien",decision=Denied,0.021540094652571985,0.9395498392282958,4.0631756532349925,0.016238799190382864,12.717330134958496,2,0.024480681256929593,debt_to_income_ratio=>60%,Ya,"Confidence unggul 2.4 poin di atas sub-rule terbaiknya (debt_to_income_ratio=>60%), jadi menambah informasi baru."
"debt_to_income_ratio=>60%, loan_type=Conventional",decision=Denied,0.04899228920636325,0.9329028635597979,4.034430153447489,0.036848742945065724,11.45748823320073,2,0.01783370558843167,debt_to_income_ratio=>60%,Tidak,"Cuma unggul 1.8 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"cltv_band=60-80%, debt_to_income_ratio=>60%",decision=Denied,0.024503516298819056,0.9228206551915603,3.990828652109026,0.01836355930370484,9.960756380520786,2,0.007751497220194081,debt_to_income_ratio=>60%,Tidak,"Cuma unggul 0.8 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"debt_to_income_ratio=>60%, occupancy_type=Principal_Residence",decision=Denied,0.05177879015731199,0.9198533263488738,3.977996146790683,0.03876249043085664,9.591972021090577,2,0.004784168377507614,debt_to_income_ratio=>60%,Tidak,"Cuma unggul 0.5 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"conforming_loan_limit=C, debt_to_income_ratio=>60%",decision=Denied,0.053179412328423784,0.9187468160978094,3.973210934421456,0.039794919733854975,9.46134802754915,2,0.003677658126443162,debt_to_income_ratio=>60%,Tidak,"Cuma unggul 0.4 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
debt_to_income_ratio=>60%,decision=Denied,0.05559732849750099,0.9150691579713662,3.9573065402782364,0.041548043224394,9.051654650802785,1,0.6838338092164457,(base rate),Ya,"Confidence unggul 68.4 poin di atas sub-rule terbaiknya ((base rate)), jadi menambah informasi baru."
"debt_to_income_ratio=>60%, tract_income_cat=Middle_Income",decision=Denied,0.023397761953204477,0.9146974063400577,3.955698863799228,0.01748281171082626,9.012207229123065,2,-0.0003717516313085367,debt_to_income_ratio=>60%,Tidak,"Cuma unggul -0.0 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"debt_to_income_ratio=>60%, derived_ethnicity=Not Hispanic or Latino",decision=Denied,0.03604759166703525,0.9106145251396648,3.9380420426324947,0.026893907862547924,8.600554535804324,2,-0.004454632831701444,debt_to_income_ratio=>60%,Tidak,"Cuma unggul -0.4 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"debt_to_income_ratio=>60%, derived_race=White",decision=Denied,0.03177200819732555,0.9020510673922144,3.90100852767226,0.023627445586926955,7.8486271445491305,2,-0.01301809057915182,debt_to_income_ratio=>60%,Tidak,"Cuma unggul -1.3 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"debt_to_income_ratio=>60%, lien_status=First_Lien",decision=Denied,0.03405723384492901,0.9002338269680435,3.89314969279275,0.02530924403401114,7.705664433964343,2,-0.014835331003322683,debt_to_income_ratio=>60%,Tidak,"Cuma unggul -1.5 poin dari debt_to_income_ratio=>60%, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"construction_method=Manufactured, loan_type=Conventional",decision=Denied,0.022970203606233506,0.6351406441092541,2.746728160418157,0.014607452629545459,2.1070164128538327,2,0.06598435088657084,construction_method=Manufactured,Ya,"Confidence unggul 6.6 poin di atas sub-rule terbaiknya (construction_method=Manufactured), jadi menambah informasi baru."
"debt_to_income_ratio=50%-60%, loan_type=Conventional",decision=Denied,0.02531440281893641,0.6223269300471185,2.6913139941536537,0.015908438715926905,2.0355294364541017,2,0.20545856289016445,debt_to_income_ratio=50%-60%,Ya,"Confidence unggul 20.5 poin di atas sub-rule terbaiknya (debt_to_income_ratio=50%-60%), jadi menambah informasi baru."
"construction_method=Manufactured, loan_purpose=Home_Purchase",decision=Denied,0.021451634304922817,0.6139240506329113,2.6549749159830704,0.013371846365766406,1.9912264737167629,2,0.04476775741022809,construction_method=Manufactured,Ya,"Confidence unggul 4.5 poin di atas sub-rule terbaiknya (construction_method=Manufactured), jadi menambah informasi baru."
"income_band=<30k, loan_type=Conventional",decision=Denied,0.02273430934583573,0.5986024844720497,2.5887152967537435,0.013952227602685134,1.9152202530051494,2,0.020458026190605105,income_band=<30k,Ya,"Confidence unggul 2.0 poin di atas sub-rule terbaiknya (income_band=<30k), jadi menambah informasi baru."
"income_band=<30k, occupancy_type=Principal_Residence",decision=Denied,0.02557978386188391,0.5929596719070404,2.564312399033335,0.015604484490587852,1.8886694958380374,2,0.014815213625595791,income_band=<30k,Tidak,"Cuma unggul 1.5 poin dari income_band=<30k, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"construction_method=Manufactured, occupancy_type=Principal_Residence",decision=Denied,0.023707373169976557,0.5796683489545782,2.5068327661656578,0.014250271168617958,1.8289478066499572,2,0.010512055731894954,construction_method=Manufactured,Tidak,"Cuma unggul 1.1 poin dari construction_method=Manufactured, di bawah ambang 2 poin, jadi dianggap variasi trivial."
income_band=<30k,decision=Denied,0.027378477597416958,0.5781444582814446,2.500242551125704,0.016428148964264894,1.8223410035418413,1,0.346909109526524,(base rate),Ya,"Confidence unggul 34.7 poin di atas sub-rule terbaiknya ((base rate)), jadi menambah informasi baru."
"construction_method=Manufactured, lien_status=First_Lien",decision=Denied,0.02373685995252628,0.5776820954431288,2.498243017573393,0.014235438439265134,1.8203458649278133,2,0.008525802220445522,construction_method=Manufactured,Tidak,"Cuma unggul 0.9 poin dari construction_method=Manufactured, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"conforming_loan_limit=C, income_band=<30k",decision=Denied,0.026803485337697375,0.5764109067850348,2.4927456372423205,0.01605088991149513,1.8148830164872607,2,-0.0017335514964097465,income_band=<30k,Tidak,"Cuma unggul -0.2 poin dari income_band=<30k, di bawah ambang 2 poin, jadi dianggap variasi trivial."
