antecedent,consequent,n,confidence,lift,improvement,ci95,chi2,p_value
"debt_to_income_ratio=>60%, lien_status=Subordinate_Lien",decision=Denied,1555,0.94,4.06,0.024,"[92.7%, 95.0%]",4487.6,0.0e+00
debt_to_income_ratio=>60%,decision=Denied,4121,0.915,3.96,0.684,"[90.6%, 92.3%]",11537.8,0.0e+00
"construction_method=Manufactured, loan_type=Conventional",decision=Denied,2453,0.635,2.75,0.066,"[61.6%, 65.4%]",2333.3,0.0e+00
"debt_to_income_ratio=50%-60%, loan_type=Conventional",decision=Denied,2759,0.622,2.69,0.205,"[60.4%, 64.0%]",2472.3,0.0e+00
"construction_method=Manufactured, loan_purpose=Home_Purchase",decision=Denied,2370,0.614,2.65,0.045,"[59.4%, 63.3%]",2021.0,0.0e+00
"income_band=<30k, loan_type=Conventional",decision=Denied,2576,0.599,2.59,0.02,"[58.0%, 61.7%]",2030.7,0.0e+00
income_band=<30k,decision=Denied,3212,0.578,2.5,0.347,"[56.1%, 59.5%]",2280.5,0.0e+00
construction_method=Manufactured,decision=Denied,2892,0.569,2.46,0.338,"[55.1%, 58.7%]",1938.5,0.0e+00
preapproval=Requested,decision=Originated,1583,1.0,1.3,0.231,"[99.8%, 100.0%]",486.2,9.6e-108
"debt_to_income_ratio=30%-<36%, loan_purpose=Home_Purchase",decision=Originated,4566,0.925,1.2,0.063,"[91.7%, 93.2%]",672.1,3.4e-148
"debt_to_income_ratio=30%-<36%, loan_amount_band=300-500k",decision=Originated,1882,0.923,1.2,0.061,"[91.1%, 93.5%]",259.8,1.9e-58
